event_start,belief_time,source,cumulative_probability,event_value
2015-03-03 17:00:00+00:00,2015-03-01 05:00:00+00:00,Random forest,0.5,8.669875000000001
2015-03-03 17:00:00+00:00,2015-03-01 05:00:00+00:00,Random forest,0.95,13.039296872500001
2015-03-03 17:00:00+00:00,2015-03-01 06:00:00+00:00,Random forest,0.05,6.1405891929999985
2015-03-03 17:00:00+00:00,2015-03-01 06:00:00+00:00,Random forest,0.5,8.884468749999998
2015-03-03 17:00:00+00:00,2015-03-01 06:00:00+00:00,Random forest,0.95,13.1324375
2015-03-03 17:00:00+00:00,2015-03-01 07:00:00+00:00,Random forest,0.05,6.9753417970000005
2015-03-03 17:00:00+00:00,2015-03-01 07:00:00+00:00,Random forest,0.5,9.017703124999993
2015-03-03 17:00:00+00:00,2015-03-01 07:00:00+00:00,Random forest,0.95,12.169808592499999
2015-03-03 17:00:00+00:00,2015-03-01 08:00:00+00:00,Random forest,0.05,6.482278646
2015-03-03 17:00:00+00:00,2015-03-01 08:00:00+00:00,Random forest,0.5,8.920093750000001
2015-03-03 17:00:00+00:00,2015-03-01 08:00:00+00:00,Random forest,0.95,12.4468749975
2015-03-03 17:00:00+00:00,2015-03-01 09:00:00+00:00,Random forest,0.05,7.0139765625
2015-03-03 17:00:00+00:00,2015-03-01 09:00:00+00:00,Random forest,0.5,9.151734375
2015-03-03 17:00:00+00:00,2015-03-01 09:00:00+00:00,Random forest,0.95,12.2773111975
2015-03-03 17:00:00+00:00,2015-03-01 10:00:00+00:00,Random forest,0.05,6.6915885415
2015-03-03 17:00:00+00:00,2015-03-01 10:00:00+00:00,Random forest,0.5,8.984328124999996
2015-03-03 17:00:00+00:00,2015-03-01 10:00:00+00:00,Random forest,0.95,11.536367187500002
2015-03-03 17:00:00+00:00,2015-03-01 11:00:00+00:00,Random forest,0.05,7.967226562999999
2015-03-03 17:00:00+00:00,2015-03-01 11:00:00+00:00,Random forest,0.5,9.314890624999999
2015-03-03 17:00:00+00:00,2015-03-01 11:00:00+00:00,Random forest,0.95,12.3390625
2015-03-03 17:00:00+00:00,2015-03-01 12:00:00+00:00,Random forest,0.05,7.639953124999999
2015-03-03 17:00:00+00:00,2015-03-01 12:00:00+00:00,Random forest,0.5,9.529249999999994
2015-03-03 17:00:00+00:00,2015-03-01 12:00:00+00:00,Random forest,0.95,12.345234375
